"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"352",1,"SCHOOL 67",9,12,0.75,"HIGH_SCHL_NAME"
"353",1,"SCHOOL 68",1,1,1,"HIGH_SCHL_NAME"
"354",1,"SCHOOL 69",4,6,0.666666666666667,"HIGH_SCHL_NAME"
"355",1,"SCHOOL 7",42,53,0.792452830188679,"HIGH_SCHL_NAME"
"356",1,"SCHOOL 70",17,25,0.68,"HIGH_SCHL_NAME"
"357",1,"SCHOOL 71",5,5,1,"HIGH_SCHL_NAME"
"358",1,"SCHOOL 72",15,19,0.789473684210526,"HIGH_SCHL_NAME"
"359",1,"SCHOOL 73",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"360",1,"SCHOOL 74",18,21,0.857142857142857,"HIGH_SCHL_NAME"
"361",1,"SCHOOL 76",3,5,0.6,"HIGH_SCHL_NAME"
"362",1,"SCHOOL 77",1,1,1,"HIGH_SCHL_NAME"
"363",1,"SCHOOL 78",9,12,0.75,"HIGH_SCHL_NAME"
"364",1,"SCHOOL 79",8,9,0.888888888888889,"HIGH_SCHL_NAME"
"365",1,"SCHOOL 8",15,24,0.625,"HIGH_SCHL_NAME"
"366",1,"SCHOOL 80",1,1,1,"HIGH_SCHL_NAME"
"367",1,"SCHOOL 81",1,1,1,"HIGH_SCHL_NAME"
"368",1,"SCHOOL 82",13,15,0.866666666666667,"HIGH_SCHL_NAME"
"369",1,"SCHOOL 83",4,4,1,"HIGH_SCHL_NAME"
"370",1,"SCHOOL 84",12,15,0.8,"HIGH_SCHL_NAME"
"371",1,"SCHOOL 85",19,22,0.863636363636364,"HIGH_SCHL_NAME"
"372",1,"SCHOOL 86",1,1,1,"HIGH_SCHL_NAME"
"373",1,"SCHOOL 87",30,37,0.810810810810811,"HIGH_SCHL_NAME"
"374",1,"SCHOOL 88",5,5,1,"HIGH_SCHL_NAME"
"375",1,"SCHOOL 89",15,16,0.9375,"HIGH_SCHL_NAME"
"376",1,"SCHOOL 9",45,54,0.833333333333333,"HIGH_SCHL_NAME"
"377",1,"SCHOOL 90",1,1,1,"HIGH_SCHL_NAME"
"378",1,"SCHOOL 91",5,10,0.5,"HIGH_SCHL_NAME"
